ens_id,gene_id
ENSMUSG00000085609
ENSMUSG00000062391
ENSMUSG00000055882
ENSMUSG00000063779
ENSMUSG00000004552
ENSMUSG00000086965
ENSMUSG00000085022
ENSMUSG00000024063
ENSMUSG00000039270
ENSMUSG00000023034
ENSMUSG00000026826
ENSMUSG00000027347
ENSMUSG00000026360
ENSMUSG00000050931
ENSMUSG00000046997
